"cidade_revendedor","faixa_km","preco_medio","total_veiculos"
"Bakersfield","0-100k","23390.75","12"
"Bakersfield","100-200k","16881.18","34"
"Bakersfield","200-300k","11667.47","15"
"Bloomington","100-200k","17152.05","19"
"Bloomington","200-300k","12068.00","15"
"Cerritos","0-100k","22120.58","12"
"Chula Vista","100-200k","17559.79","14"
"Colma","0-100k","22102.42","12"
"Concord","100-200k","16559.58","12"
"Costa Mesa","100-200k","15577.15","13"
"Downey","0-100k","22912.39","18"
"Downey","100-200k","19074.36","11"
"East Los Angeles","100-200k","13230.08","12"
"El Cajon","0-100k","16440.87","15"
"El Cajon","100-200k","13984.17","12"
"Elk Grove","0-100k","23736.30","10"
"Elk Grove","100-200k","20287.90","10"
"Fontana","0-100k","21856.73","15"
"Fontana","100-200k","15732.68","31"
"Fontana","200-300k","10077.41","11"
"Fremont","100-200k","15722.17","12"
"Fresno","0-100k","24214.52","23"
"Fresno","100-200k","19053.29","28"
"Fresno","200-300k","11548.70","10"
"Fullerton","100-200k","17663.00","12"
"Hayward","200-300k","11280.50","10"
"Indio","0-100k","25691.31","13"
"Indio","100-200k","18021.32","18"
"Irvine","0-100k","23368.00","13"
"Lancaster","0-100k","23495.00","13"
"Los Angeles","0-100k","22484.99","92"
"Los Angeles","100-200k","15657.98","111"
"Los Angeles","200-300k","11528.44","24"
"Modesto","0-100k","22685.48","26"
"Modesto","100-200k","16508.73","22"
"Modesto","200-300k","12086.79","24"
"Montclair","0-100k","22442.66","32"
"Montclair","100-200k","17133.44","34"
"National City","100-200k","14868.92","12"
"Norco","100-200k","13831.29","12"
"Ontario","0-100k","21723.29","14"
"Ontario","100-200k","16515.33","15"
"Orange","100-200k","12834.91","23"
"Riverside","0-100k","19982.29","17"
"Riverside","100-200k","13939.74","35"
"Riverside","200-300k","12286.91","17"
"Roseville","0-100k","22642.44","131"
"Roseville","100-200k","16898.33","140"
"Sacramento","0-100k","19675.38","29"
"Sacramento","100-200k","15214.21","70"
"Sacramento","200-300k","10221.19","31"
"Salinas","0-100k","22801.10","10"
"Salinas","100-200k","16416.53","17"
"San Diego","0-100k","21686.45","37"
"San Diego","100-200k","15327.37","43"
"San Diego","200-300k","11186.14","14"
"San Jose","0-100k","23880.52","27"
"San Jose","100-200k","17704.00","39"
"Santa Ana","100-200k","16061.00","19"
"Santa Clarita","100-200k","15386.00","10"
"Torrance","0-100k","22403.54","13"
"Tracy","100-200k","14027.60","10"
"Victorville","100-200k","17329.40","20"
"West Covina","0-100k","22267.25","12"
