"cidade_revendedor","qtd_revendedores"
"Los Angeles","81"
"Sacramento","70"
"San Diego","34"
"Modesto","31"
"San Jose","28"
"Bakersfield","28"
"Fresno","26"
"Riverside","24"
"Fontana","21"
"Roseville","20"
"Santa Ana","18"
"Ontario","18"
"Bloomington","16"
"Victorville","14"
"Fremont","13"
"Hayward","13"
"Santa Rosa","12"
"El Monte","12"
"Costa Mesa","12"
"South Gate","12"
"National City","11"
"Orange","11"
"Salinas","11"
"Indio","11"
"East Los Angeles","10"
"Stockton","10"
"Downey","10"
"Oxnard","10"
"Santa Clarita","10"
"Chula Vista","9"
"San Bernardino","9"
"Concord","9"
"Long Beach","9"
"Cerritos","8"
"Irvine","8"
"Montclair","8"
"El Cajon","8"
"West Covina","7"
"Selma","7"
"Tracy","7"
"Escondido","7"
"Merced","7"
"Torrance","7"
"Lancaster","7"
"Temecula","7"
"Fullerton","6"
"Pittsburg","6"
"Visalia","6"
"Hemet","6"
"Clovis","6"
"Davis","6"
"Huntington Beach","6"
"Inglewood","6"
"Redding","6"
"Colma","6"
"Walnut Creek","6"
"City of Industry","5"
"Tulare","5"
"Newark","5"
"Pomona","5"
"Norco","5"
"Whittier","5"
"Fairfield","5"
"Pasadena","5"
"Bell","5"
"Bellflower","5"
"Oakland","5"
"Sunnyvale","4"
"Elk Grove","4"
"Yuba City","4"
"Oceanside","4"
"Ventura","4"
"Simi Valley","4"
"Vacaville","3"
"Hollister","3"
"Patterson","3"
"Buena Park","3"
"West Sacramento","3"
"Pleasant Hill","3"
"La Puente","3"
"Calexico","3"
"Burbank","3"
"Chico","3"
"Culver City","3"
"Tustin","3"
"Porterville","3"
"Upland","2"
"Benicia","2"
"Banning","2"
"Covina","2"
"Westminster","2"
"Palmdale","2"
"Goleta","2"
"Newport Beach","2"
"Fallbrook","2"
"Pleasanton","2"
"San Marcos","2"
"Lafayette","1"
"Cameron Park","1"
"Farmersville","1"
"Santee","1"
"Loma Linda","1"
"Yorba Linda","1"
"North Highlands","1"
"Palm Desert","1"
"Monterey Park","1"
"Westlake Village","1"
"Murrieta","1"
"Duarte","1"
