"idade","faixa_km","preco_medio","desvio"
3,"0-100k","24513.027542372881","2470.257216403919"
6,"300-400k","8474.5000000000000000","672.458548908407"
9,"0-100k","17880.560000000000","2536.713705433337"
8,"200-300k","13790.960784313725","2222.878545587089"
10,"300-400k","8522.2500000000000000","1529.276817104521"
9,"100-200k","15400.078125000000","2041.247643072860"
6,"100-200k","18410.149390243902","2701.877259896467"
13,"200-300k","8580.1268656716417910","1410.046225717880"
3,"200-300k","17000.0000000000000000",NULL
4,"100-200k","19067.853658536585","2357.757563459140"
10,"0-100k","16858.666666666667","1941.498329823099"
11,"0-100k","13803.375000000000","3859.595683395570"
5,"100-200k","19310.015748031496","2871.789075091262"
2,"0-100k","24826.497237569061","2182.824166772918"
5,"200-300k","16107.444444444444","2875.547344033441"
6,"200-300k","14914.578947368421","1667.382156948413"
7,"0-100k","19390.719298245614","2722.224968099139"
13,"100-200k","9776.7631578947368421","1646.009129534608"
4,"200-300k","15832.500000000000","222.738636073762"
11,"300-400k","9049.2500000000000000","1968.781412447812"
13,"300-400k","6865.0714285714285714","1512.420808631299"
10,"100-200k","13443.970297029703","2209.910914292454"
12,"0-100k","14494.200000000000","2281.539041962684"
10,"200-300k","10585.586206896552","2042.966436547366"
8,"100-200k","15939.480132450331","2237.655657811537"
6,"0-100k","20762.827956989247","3071.787734060242"
8,"400k+","11152.0000000000000000",NULL
2,"100-200k","21587.666666666667","1243.517323294426"
12,"300-400k","7628.0000000000000000","1859.632375344270"
3,"100-200k","21102.971830985915","2478.763804640364"
11,"100-200k","12670.622950819672","2356.907812961257"
7,"100-200k","17149.953416149068","2651.336903220502"
4,"0-100k","21639.873015873016","2520.415969841944"
9,"200-300k","12911.491379310345","2007.100025679407"
5,"0-100k","21839.921875000000","2700.268915186202"
9,"300-400k","11971.0000000000000000","4282.238666865732"
12,"100-200k","11547.590909090909","2082.604879407531"
8,"0-100k","19246.934782608696","2809.730832518967"
11,"200-300k","10017.7702702702702703","2052.324152010331"
12,"200-300k","9970.0535714285714286","1724.659317289732"
7,"200-300k","14077.952380952381","2253.832590859190"
13,"0-100k","10586.0000000000000000","2873.692166302206"
