"cidade_revendedor","n_abaixo_media","total_veiculos","pct_abaixo_media"
"El Cajon","6","28","21.43"
"San Bernardino","1","13","7.69"
"Downey","2","31","6.45"
"Tracy","1","18","5.56"
"Sacramento","7","131","5.34"
"Long Beach","1","19","5.26"
"Fremont","1","29","3.45"
"Bloomington","1","36","2.78"
"Ontario","1","37","2.70"
"Los Angeles","5","231","2.16"
"Fontana","1","59","1.69"
"Montclair","1","67","1.49"
"Riverside","1","69","1.45"
"San Diego","1","94","1.06"
"Roseville","2","280","0.71"
"El Monte","0","25","0.00"
"Loma Linda","0","11","0.00"
"Modesto","0","78","0.00"
"Merced","0","11","0.00"
"Elk Grove","0","20","0.00"
"Irvine","0","23","0.00"
"Salinas","0","32","0.00"
"Orange","0","34","0.00"
"Hemet","0","10","0.00"
"Selma","0","12","0.00"
"Bakersfield","0","61","0.00"
"Santa Clarita","0","17","0.00"
"Concord","0","19","0.00"
"Santa Ana","0","36","0.00"
"Fresno","0","61","0.00"
"Clovis","0","11","0.00"
"Hayward","0","25","0.00"
"Culver City","0","12","0.00"
"Fullerton","0","17","0.00"
"Pittsburg","0","16","0.00"
"Pasadena","0","16","0.00"
"Torrance","0","22","0.00"
"Oxnard","0","15","0.00"
"South Gate","0","20","0.00"
"Colma","0","15","0.00"
"West Covina","0","20","0.00"
"Tulare","0","15","0.00"
"Indio","0","40","0.00"
"San Jose","0","75","0.00"
"Huntington Beach","0","13","0.00"
"National City","0","22","0.00"
"Cerritos","0","20","0.00"
"Santa Rosa","0","22","0.00"
"Inglewood","0","10","0.00"
"Victorville","0","30","0.00"
"East Los Angeles","0","17","0.00"
"Chula Vista","0","21","0.00"
"Stockton","0","20","0.00"
"Ventura","0","11","0.00"
"Norco","0","14","0.00"
"Lancaster","0","23","0.00"
"Temecula","0","11","0.00"
"Costa Mesa","0","21","0.00"
"Visalia","0","14","0.00"
"Pomona","0","12","0.00"
