"cidade_revendedor","total_veiculos","preco_medio"
"Downey","31","21033.00"
"Fresno","61","19769.07"
"Montclair","67","19592.46"
"Roseville","280","19478.03"
"San Jose","75","19253.74"
"Indio","40","19204.76"
"Victorville","30","17977.40"
"Salinas","32","17877.59"
"Los Angeles","231","17839.51"
"Ontario","37","17473.92"
"San Diego","94","17213.63"
"Bakersfield","61","16879.69"
"Modesto","78","16639.35"
"Santa Ana","36","16399.14"
"Fontana","59","15972.97"
"Riverside","69","15021.27"
"Bloomington","36","14969.58"
"Sacramento","131","14945.71"
"Orange","34","13893.12"
